item_id,revenue,store_id,transaction_id,discount_code,customer_id,item_category,quantity,payment_method,timestamp,unit_price
ITEM00480,444.33,S017,PR0QXEB7C5KT,,o2xqz21x,Groceries,1,Card,2024-12-07 09:06:50,444.33
ITEM00110,216.27,S011,LV7EJM1R1QJQ,,gd7spbzg,Sports,3,Transfer,2024-12-07 01:44:38,72.09
ITEM00516,1424.16,S018,TTSK3A0YQ6W5,,qr5u83yg,Groceries,4,Transfer,2024-12-07 08:58:40,356.04
ITEM00070,645.92,S015,B97LCPXXVK0Q,,ho755lz2,Groceries,2,Mobile,12/07/2024 07:07PM,322.96
ITEM00202,342.00,S014,9EU0G8LWDKHR,,5m1uwrqd,Groceries,5,Mobile,2024-12-07 05:00:40,68.40
ITEM00332,810.48,S011,2ATXAB0G3YVO,,d511uodz,Groceries,2,Transfer,2024-12-07 03:07:26,405.24
ITEM00721,332.24,S019,AZWMZ6JXRYX5,,w3hb9eeq,Sports,1,Card,2024-12-07 14:20:52,332.24
ITEM00788,90.84,S005,H6H7L8QYYRH6,,lhckxpda,Home,1,Mobile,07-12-24 14:07,90.84
ITEM00853,315.14,S014,YGS8O79VRJO5,,r260q1g1,Sports,1,Transfer,07-12-24 21:59,315.14
ITEM00328,1002.92,S015,320HMH74UZ5L,,rudbrsiv,Sports,4,Cash,2024-12-07 13:49:35,250.73
ITEM00986,539.00,S019,008CYDVXVXYI,,oki5blw4,Toys,4,Transfer,2024-12-07 14:22:35,134.75
ITEM00514,438.56,S002,AXHF72BYNCS5,,hx16h700,Electronics,4,Cash,07-12-24 10:56,109.64
ITEM00789,605.14,S017,NF751VUTPQCM,,dgvvvvdk,Electronics,2,Mobile,2024-12-07 21:34:49,302.57
ITEM00295,22.88,S014,XUHZD9OUQJAC,,rdevcjzx,Electronics,4,Transfer,07-12-24 19:50,5.72
ITEM00920,886.20,S016,ODP9NUFHN5YL,,ay1t5g72,Toys,5,Card,2024/12/07 00:56:25,177.24
ITEM00693,544.08,S016,PWD0G2VORFSL,,by6i17et,Home,2,Transfer,2024-12-07 09:41:15,272.04
ITEM00658,263.64,S004,BTL03710MEAT,,rr8jpvq3,Groceries,1,Mobile,2024-12-07 00:03:17,263.64
ITEM00152,756.36,S016,32K1IHKPJU9H,,7ge7mgrh,Clothing,4,Mobile,2024/12/07 21:00:49,189.09
ITEM00078,492.76,S019,9B8EKLWJEPW5,,8ri8nu17,Home,4,Transfer,2024-12-07 15:32:56,123.19
ITEM00464,1393.85,S012,PK9IPHPTMQK0,,ewt8j2vo,Electronics,5,Card,2024/12/07 23:49:57,278.77
ITEM00562,844.56,S003,LMJRJPFFSSPN,,lr5t9egv,Groceries,2,Mobile,2024-12-07 22:36:15,422.28
ITEM00881,459.15,S006,LAK0PNTKLUUJ,,devi5b9o,Sports,1,Mobile,2024-12-07 10:34:29,459.15
ITEM00001,1316.28,S004,HZWR73YAO3S0,,u1lqxt22,Groceries,3,Mobile,2024-12-07 21:38:30,438.76
ITEM00953,1704.48,S016,PB7QU3054OUX,,21yk9xpf,Home,4,Cash,07-12-24 18:19,426.12
ITEM00017,2237.30,S012,080YAPIG8OFS,,y0peqlv4,Home,5,Transfer,2024-12-07 10:32:44,447.46
ITEM00826,332.52,S011,2LD524QBSSAL,,howrphwn,Electronics,4,Transfer,12/07/2024 07:17AM,83.13
ITEM00534,175.25,S006,24OOG2TLTT23,,q5ufk8ul,Home,1,Card,2024/12/07 17:36:13,175.25
ITEM00434,240.24,S014,A5YU3TTBUYS9,,homo7rn7,Toys,1,Card,2024/12/07 18:46:58,240.24
ITEM00705,1570.20,S010,01LDA71YP6E9,,atllqhrk,Sports,4,Cash,2024-12-07 01:25:24,392.55
ITEM00122,1260.04,S013,BAKE2DCQ81UE,,dww8dxaj,Toys,4,Cash,2024-12-07 00:30:05,315.01
ITEM00316,70.41,S013,B3MK8TEWA5UY,,lx04xsby,Groceries,3,Card,12/07/2024 11:17AM,23.47
ITEM00267,425.48,S010,HKFFN16DB0IC,,oiv10jh6,Home,4,Mobile,12/07/2024 11:24PM,106.37
ITEM00515,137.34,S015,96T12PW4DAUD,,c38seoot,Toys,1,Card,2024-12-07 01:51:15,137.34
ITEM00159,893.54,S012,IWKVYTNDJJO9,,peoso1f1,Home,2,Card,2024-12-07 15:59:25,446.77
ITEM00793,1392.03,S008,2W7RNTWXWQQI,,7bjn7c41,Toys,3,Cash,07-12-24 03:15,464.01
ITEM00676,668.60,S010,4JDGJ8YSWV20,,473ujs3e,Sports,4,Cash,2024-12-07 13:26:20,167.15
ITEM00915,2020.90,S014,PV70LGRPZRXE,,2pemklmd,Home,5,Cash,07-12-24 09:31,404.18
ITEM00377,1440.88,S005,3HJEYM4UM75W,,sj57zpqf,Toys,4,Cash,2024-12-07 17:31:17,360.22
ITEM00445,51.84,S015,XXHTD2FQQI5E,,624u41tq,Groceries,3,Transfer,2024-12-07 15:38:21,17.28
ITEM00727,876.60,S013,FUJV2HRWR931,,6lopps1b,Groceries,3,Cash,2024-12-07 14:53:11,292.20
ITEM00408,451.07,S004,ZHDQAIBHYHHX,,taiecevs,Toys,1,Transfer,2024-12-07 18:38:40,451.07
ITEM00023,1612.90,S011,NGDJ56UTDRJD,,1apgzmkb,Sports,5,Mobile,07-12-24 21:06,322.58
ITEM00979,810.12,S004,L8TVF7MWTZ56,,ctblrwu7,Toys,2,Card,2024-12-07 08:54:35,405.06
ITEM00454,19.55,S006,,,9byq71uh,Clothing,1,Mobile,2024-12-07 04:08:24,19.55
ITEM00631,1268.73,S017,0OOBAGXKK36Q,,iqt67f2h,Clothing,3,Cash,07-12-24 19:27,422.91
ITEM00550,1342.56,S008,G1JEV4IY4K1N,,mjtc33u0,Toys,4,Transfer,2024-12-07 23:20:01,335.64
ITEM00760,436.52,S012,OVSRM9XXK7TT,,8wbgpfwc,Toys,4,Mobile,2024-12-07 01:24:31,109.13
ITEM00941,1487.10,S020,ZAGI3NPPABLB,,g4p93nyh,Clothing,3,Transfer,2024-12-07T07:16:40,495.70
ITEM00996,1596.64,S005,IM29NNQPNJI8,,rdolpgu8,Groceries,4,Mobile,07-12-24 06:45,399.16
ITEM00125,882.84,S012,KXUNDMFZ5WW4,,7sz4s3e3,Home,4,Mobile,2024-12-07 05:56:32,220.71
ITEM00938,100.44,S014,8L8DJ0EK3LNK,,p7q4zd6a,Sports,2,Card,2024-12-07 16:00:19,50.22
ITEM00107,806.35,S003,6LBM0AJ6X27O,,eyqt4xs3,Clothing,5,Cash,2024-12-07 16:48:10,161.27
ITEM00741,31.56,S010,ILVM4JBUX476,,t84cpkjy,Electronics,2,Mobile,07-12-24 04:43,15.78
ITEM00816,418.27,S010,J9LKOPJ1FI4X,,7jbs8vmw,Electronics,1,Mobile,12/07/2024 04:35AM,418.27
ITEM00035,239.58,S019,7PLC1KJG7DP5,,dyh97diy,Home,2,Transfer,2024-12-07 11:26:58,119.79
ITEM00015,633.48,S018,1ARVYXTUYL0B,,zl4kklri,Home,2,Cash,2024-12-07 19:11:00,316.74
ITEM00005,1478.64,S016,34QPVBXSM4NI,,rc0swuzj,Groceries,-1,Card,2024/02/30 25:61,492.88
ITEM00177,1087.23,S020,XMVRUSTQFOB8,,pwdmj3z7,Home,3,Cash,12/07/2024 10:02PM,362.41
ITEM00341,358.28,S004,RX6A990BSH1F,,5f3ficlr,Groceries,4,Card,2024/12/07 16:45:38,89.57
ITEM00507,412.46,S006,ZH476EGQE8DK,,hxirj6d6,Clothing,1,Card,12/07/2024 06:05PM,412.46
ITEM00983,304.99,S011,GPIREXQWWFB4,,863a1ny0,Home,1,Card,2024-12-07 20:37:42,304.99
ITEM00088,1217.16,S003,8VOYGHVQIZD8,,dxwihdrg,Clothing,4,Transfer,2024-12-07 04:38:52,304.29
ITEM00805,89.88,S006,J9KS1K0DH3EI,,54r71zkv,Clothing,1,Transfer,2024-12-07 01:12:55,89.88
ITEM00529,481.08,S005,99UPSRGI9P8T,,qnwcqtjv,Electronics,2,Card,12/07/2024 01:40PM,240.54
ITEM00321,541.24,S006,HW9P0IEIHCJJ,,pr9a67l7,Home,2,Cash,07-12-24 11:08,270.62
ITEM00606,917.38,S018,TDESY3U0SL3E,,8s0hcn1d,Groceries,2,Card,2024-12-07 10:12:23,458.69
ITEM00107,217.94,S003,B1NO6C6ZH6DU,,mhvr04jc,Groceries,2,Transfer,12/07/2024 03:40PM,108.97
ITEM00489,197.55,S012,Q1HUXADTEBA9,,o3qyepjr,Clothing,5,Cash,2024-12-07 18:50:11,39.51
ITEM00087,418.68,S002,P8Q9ZTC0J9BL,,p2kugeor,Home,3,Transfer,2024-12-07 23:09:01,139.56
ITEM00279,1700.50,S003,B9C55C5MWBWA,,lj9a6bko,Toys,5,Transfer,07-12-24 09:16,340.10
ITEM00455,936.03,S013,N2K83MNA9TV4,,cgbqlc9e,Toys,3,Cash,2024-12-07 15:28:25,312.01
ITEM00648,396.52,S003,NGXCYNLAIMA5,,r248x533,Toys,1,Transfer,2024-12-07 18:06:16,396.52
ITEM00290,345.70,S009,61FIVOCN8DS7,,jl7tg6cd,Home,1,Card,2024-12-07 13:49:31,345.70
ITEM00307,864.22,S003,WJ0Y17VZ2QZ9,,aaxn45jo,Groceries,2,Transfer,2024/12/07 09:41:25,432.11
ITEM00211,390.90,S009,0U4SUXRIOW2P,,ljfedtee,Toys,5,Cash,2024-12-07 20:49:55,78.18
ITEM00626,616.00,S011,PQP81YCEGNNJ,,q5r7a2p4,Clothing,4,Cash,12/07/2024 09:00PM,154.00
ITEM00114,14.05,S016,NX0H6VY9RX42,,mq48b890,Home,1,Cash,2024/12/07 17:31:27,14.05
ITEM00563,554.70,S009,KWB3WWTQLN9H,,mmyr77yh,Home,3,Transfer,2024/12/07 09:43:31,184.90
ITEM00335,1457.43,S005,A6M9682YF7QT,,czuj7f59,Sports,3,Mobile,2024-12-07 17:17:13,485.81
ITEM00048,118.14,S010,73T2GQYLTX18,,vodmr5qs,Electronics,1,Mobile,12/07/2024 07:09AM,118.14
ITEM00621,215.92,S012,9UCEGYUA4QGV,,prcwfbya,Electronics,4,Transfer,2024-12-07 01:18:48,53.98
ITEM00004,754.70,S020,03UF8RI3P4G2,,yw6weyuk,Electronics,2,Mobile,2024-12-07 10:14:44,377.35
ITEM00768,124.39,S008,9TT96J6VDCF3,,vnppufu7,Electronics,1,Transfer,07-12-24 20:29,124.39
ITEM00010,1690.80,S011,ZM5095TKIZIW,,5re29u3o,Sports,5,Card,12/07/2024 01:57AM,338.16
ITEM00247,530.70,S015,FPVK4WYZIQOU,,4cgspfrj,Sports,3,Transfer,2024-12-07 17:44:46,176.90
ITEM00682,1838.96,S011,DKPZ4FNW2L4K,,fkjza3ue,Groceries,4,Cash,2024-12-07 17:41:51,459.74
ITEM00678,376.29,S012,YQ9GNTDWHMBU,,5zsnpi53,Electronics,3,Cash,2024/12/07 07:36:37,125.43
ITEM00219,362.23,S004,Z9YJG6QOARIG,,3xd5ax7u,Clothing,1,Mobile,2024-12-07 16:12:46,362.23
ITEM00055,413.72,S019,9WF58YJ9OHNJ,,49jmz43d,Clothing,1,Transfer,2024/12/07 15:31:23,413.72
ITEM00155,496.96,S014,BKB607ZUL867,,vg5529rr,Toys,1,Mobile,07-12-24 02:06,496.96
ITEM00113,423.83,S009,JS6NLM4GL51N,,mjdsrr2k,Sports,1,Mobile,2024-12-07 18:12:46,423.83
ITEM00752,191.96,S011,NU8UY5MRUO0N,,66ke9jfo,Home,1,Cash,2024-12-07 01:41:52,191.96
ITEM00261,265.49,S015,CMBLEPSO1GS5,,0xef6a9x,Electronics,1,Mobile,2024-12-07 01:33:56,265.49
ITEM00471,23.00,S011,T6HMRYI02O0Y,,b2pc3q1d,Electronics,1,Transfer,2024-12-07 09:09:34,23.00
ITEM00619,3.72,S016,QRJS9NPTPR2P,,2g1k5jaw,Sports,1,Card,12/07/2024 04:46AM,3.72
ITEM00047,181.83,S004,QGNRHP36KY6Y,,3yw1v49t,Home,1,Transfer,12/07/2024 06:12AM,181.83
ITEM00408,343.56,S006,OETO04TFRX24,,qinmm5de,Sports,2,Card,12/07/2024 01:43AM,171.78
ITEM00385,1507.56,S012,PO9O2M470N9E,,gfcfljbt,Groceries,4,Mobile,2024-12-07T08:51:52,376.89
ITEM00053,194.22,S010,JWU73365RD46,,plkk8841,Sports,1,Cash,07-12-24 04:16,194.22
ITEM00870,954.74,S013,1JCZLXOZV4W5,,qwak59w8,Sports,2,Card,2024-12-07 10:02:45,477.37
ITEM00559,59.56,S002,QEXUFQJEGY1L,,lr6sakra,Home,2,Mobile,2024/12/07 04:18:21,29.78
ITEM00095,502.38,S006,2PMIAY8MLNCG,,y9mze9wy,Toys,2,Mobile,2024-12-07 09:12:27,251.19
ITEM00619,134.43,S003,A03DAZ3RWBJ9,,2fow2nu7,Clothing,3,Card,2024-12-07 12:03:33,44.81
ITEM00833,511.90,S003,4HUFN4VNBOOB,,rvkdxt3u,Electronics,2,Card,2024-12-07 05:24:51,255.95
ITEM00121,1158.88,S012,5PHPYHX68YV2,,1v96nix9,Home,4,Cash,2024-12-07 15:19:03,289.72
ITEM00396,1378.75,S008,ROI91EAF3IHS,,lvzfaa2i,Electronics,5,Card,12/07/2024 03:46AM,275.75
ITEM00995,1858.04,S017,PKBRFBFL0V8H,,t419fg4u,Toys,-3,Card,2024-12-07 01:03:13,464.51
ITEM00703;1001.96;S013;WQDYODUX5X64;;5tuan5o2;Clothing;4;Cash;2024-12-07 16:45:44;250.49
ITEM00647,162.90,S015,6RB0FGYNSATC,,xvqvaeut,Home,5,Cash,2024-12-07 21:43:41,32.58
ITEM00326,309.28,S009,6M0JTQU72J7I,,7q0ecdc9,Groceries,1,Mobile,2024/12/07 15:09:48,309.28
ITEM00945,1407.64,S007,0OC7VUWKXT0A,,z4pe05sa,Sports,4,Transfer,2024-12-07 16:12:24,351.91
ITEM00609,167.48,S013,8R8DWPZKG84Y,,8jhe9fi3,Groceries,1,Transfer,2024-12-07 05:00:25,167.48
ITEM00615,1196.60,S014,PBLA6SZO61LQ,,slpwlm4f,Groceries,5,Mobile,2024-12-07 14:03:39,239.32
ITEM00168,806.20,S009,GGV9F9PWBXD9,,uys9w24x,Toys,4,Card,2024-12-07 03:47:39,201.55
ITEM00320,279.12,S018,M5PSPU69CMNJ,,xck1ffin,Clothing,4,Mobile,2024-12-07 01:53:10,69.78
ITEM00441,27.09,S001,C3OKO3VPK2U4,,4vlmlzbd,Toys,1,Transfer,2024-12-07 01:42:34,27.09
ITEM00915,1281.75,S018,E0RK1Y2AXGZM,,c1hd9n1o,Toys,3,Card,2024-12-07 20:46:31,427.25
ITEM00152,374.99,S001,CTY1CERH6AFB,,6jlulym7,Toys,1,Mobile,2024-12-07 14:49:25,374.99
ITEM00352,94.14,S018,LGRR4C9ASZ5G,,7u0c0y5f,Home,3,Mobile,12/07/2024 07:34PM,31.38
ITEM00302,1845.70,S016,4FI3D7JI6I8E,,i19vlys8,Sports,5,Transfer,12/07/2024 04:40PM,369.14
ITEM00303,1317.60,S017,B967EW1Z6R22,,ow25avpk,Electronics,3,Cash,12/07/2024 07:41AM,439.20
ITEM00074,1272.10,S006,UINJESPS8Q18,,xqud130i,Electronics,5,Transfer,2024-12-07 10:20:48,254.42
ITEM00246,$1338.69,S007,MEF1K7JZQA1O,,vklq0xjl,Groceries,3,Transfer,2024/12/07 02:35:21,$446.23
ITEM00651,78.87,S019,FW2GLF8SLJRT,,rnbanxao,Toys,1,Cash,07-12-24 07:54,78.87
ITEM00637,187.14,S016,O7Z55HPQA1VB,,p7rxf8gv,Sports,2,Card,2024-12-07 01:27:35,93.57
ITEM00410,390.02,S019,23KJDYVY96QZ,,d2ml0lrk,Clothing,2,Cash,2024-12-07 05:35:34,195.01
ITEM00393,2078.80,S010,98NLI8CXU1CX,,04nwf222,Electronics,5,Mobile,2024-12-07 18:01:34,415.76
ITEM00055,1063.25,S008,X1M3S65Q1MW7,,gwa654nv,Sports,5,Mobile,2024/12/07 18:40:05,212.65
ITEM00765,1171.80,S011,U3G58K4NGOSV,,y1hr4alv,Home,5,Card,2024-12-07 07:04:44,234.36
ITEM00686,1292.10,S013,KXJ2EZNJ8U81,,au731qx4,Clothing,3,Transfer,12/07/2024 06:24AM,430.70
ITEM00020,666.44,S018,OLXCY6FD627D,,uj3np6w3,Toys,2,Transfer,2024-12-07 15:49:18,333.22
ITEM00658,1593.20,S015,8ZBJJAC9ONQY,,050vr9dc,Toys,4,Transfer,,398.30
ITEM00856,245.18,S008,WK51GLRAPDN3,,h5ktartw,Electronics,2,Transfer,2024-12-07 16:51:07,122.59
ITEM00061,579.62,S015,CUXE5R4BOOBP,,exu4qvyd,Home,2,Cash,2024-12-07 02:06:00,289.81
ITEM00730,620.37,S016,B7NBQW35F5SA,,4t6f1qw9,Toys,3,Mobile,2024-12-07 19:41:57,206.79
ITEM00017,1717.95,S011,9QJS7I58UP6J,,42hqfxcl,Electronics,5,Card,2024-12-07T21:29:46,343.59
ITEM00334,2417.80,S015,JT6GK3LV323X,,yg3hd6oi,Electronics,5,Transfer,2024-12-07 02:54:10,483.56
ITEM00289,398.36,S010,EXWNSCI32A6V,,cm2cd1w6,Groceries,1,Transfer,12/07/2024 03:44PM,398.36
ITEM00945,2217.15,S002,9Z9WYP4VAS98,,63lc6p0d,Groceries,5,Cash,2024-12-07 23:19:10,443.43
ITEM00492,1370.92,S001,4K8O5B8MS9TK,,zg9bcdc2,Toys,4,Transfer,12/07/2024 09:16AM,342.73
ITEM00186,224.21,S012,VVGFLK7PXDJ8,,vba43ijw,Home,1,Cash,2024/12/07 18:25:29,224.21
ITEM00807,444.18,S007,1ZRTU4FSIXMN,,iwel4rv2,Clothing,2,Cash,2024-12-07 10:07:51,222.09
ITEM00919,1305.54,S008,DW1NN9F7QA1V,,f9hkjf0u,Clothing,3,Transfer,2024-12-07 04:16:28,435.18
ITEM00313,1584.04,S017,5LPTR5NAZ4LL,,wkryfnnm,Groceries,4,Card,2024-12-07T01:36:46,396.01
ITEM00693,577.38,S012,50AP1WNSQHAC,,fhzcoq4c,Clothing,2,Mobile,2024-12-07 19:36:21,288.69
ITEM00432,636.64,S018,QA141357P714,,d99vrs5y,Clothing,2,Mobile,12/07/2024 06:32PM,318.32
ITEM00499,506.86,S012,TU0CGF2IXW2L,,3lfln7ft,Toys,2,Transfer,07-12-24 07:06,253.43
ITEM00443,785.36,S013,13Y2EU0ESQU5,,vjc8xtsf,Groceries,2,Card,2024/12/07 01:36:54,392.68
ITEM00342,294.84,S001,U9NLGSZ2DCPG,,6lbuwchg,Sports,4,Mobile,2024-12-07 13:07:04,73.71
ITEM00937,1458.15,S010,2A8TS171SD6Q,,a2obx9xk,Clothing,5,Mobile,12/07/2024 09:41PM,291.63
ITEM00945,316.50,S003,3EEHP2Z94HU8,,2i6zbvq8,Groceries,3,Cash,2024-12-07 21:23:03,105.50
ITEM00988,1027.16,S008,2GTU8CS0KFD8,,wpnheher,Toys,4,Transfer,2024-12-07 03:48:55,256.79
ITEM00887,154.90,S004,Z5RLTDCL3AH4,,5d5dui7a,Toys,1,Card,2024-12-07 13:52:25,154.90
ITEM00909,230.38,S019,XGLI5GHXCX8G,,a51nn5io,Electronics,1,Transfer,2024/12/07 23:45:47,230.38
ITEM00372,289.08,S008,RB0NZUTP4HY5,,8zplcl4j,Electronics,4,Cash,2024-12-07T08:46:25,72.27
ITEM00490,491.52,S005,5NC0MHXBOH57,,whuyoiui,Home,4,Cash,2024-12-07T10:40:58,122.88
ITEM00318,2390.05,S012,NKHDLSZATDFN,,xjn82ijw,Toys,5,Card,2024-12-07 01:35:40,478.01
ITEM00108;767.76;S004;YZK4KFDDXVFG;;oav41b8e;Groceries;3;Cash;2024-12-07T13:39:51;255.92
ITEM00691,2312.85,S010,O6RMAO5XXY6W,,p55u1r8a,Toys,5,Transfer,12/07/2024 07:08AM,462.57
ITEM00597,1268.43,S016,89CBI2MKNKJ2,,mckum88b,Toys,3,Transfer,12/07/2024 04:11AM,422.81
ITEM00963,490.05,S020,ZMQ9P7EQFJOD,,lxezxpfh,Clothing,1,Transfer,2024-12-07 00:54:11,N/A
ITEM00071,392.39,S019,AGGL6XCJDP9T,,jbn9qb1j,Toys,1,Transfer,2024-12-07 12:36:47,392.39
ITEM00140,223.36,S012,WH40W6A718FV,,kjo7rjtm,Electronics,1,Mobile,2024-12-07T15:48:14,223.36
ITEM00175,277.99,S001,7CYX97I98UFQ,,efmm3jt4,Groceries,1,Mobile,2024-12-07 21:07:17,277.99
ITEM00877,214.02,S002,I7Y01MUT84U4,,4maphayi,Clothing,3,Cash,2024-12-07 12:42:09,71.34
ITEM00036,2253.65,S016,KDPR2VZ5UX0L,,9k6l7j4v,Groceries,5,Transfer,2024-12-07 03:41:50,450.73
ITEM00640,444.92,S011,IQPHXI17L2OP,,gofrgji1,Clothing,1,Mobile,2024/12/07 21:49:32,444.92
ITEM00154,201.70,S017,YBO1Y97JYLAQ,,nzdwp73w,Groceries,5,Mobile,2024/12/07 23:44:02,40.34
ITEM00193,1585.72,S009,FJ5PIJXQTC8S,,z20fed9q,Home,4,Mobile,2024-12-07 07:01:07,396.43
ITEM00101,27.12,S015,HQR2IME3LM75,,voiwatx5,Toys,2,Transfer,2024-12-07 07:03:47,13.56
ITEM00636,489.90,S009,ETNS9DNPS862,,k83gsgch,Electronics,5,Card,2024-12-07 02:29:42,97.98
ITEM00008,463.83,S007,3Q1PHJHDDQEF,,ai1x2iux,Home,1,Transfer,12/07/2024 06:56PM,463.83
ITEM00077,827.20,S016,U0HYO3HI0X5F,,6xgytbgh,Home,4,Transfer,2024-12-07 20:19:50,206.80
ITEM00004,106.52,S009,ISC01QASL9QO,,idrctypw,Home,4,Cash,2024-12-07 19:19:26,26.63
ITEM00251,825.70,S012,WI1CUF8GQ8DP,,i8gpw3o4,Toys,5,Card,2024-12-07 09:05:58,165.14
ITEM00575,1600.36,S009,Y21IBZRBYKR9,,kd95bu1e,Electronics,4,Transfer,07-12-24 02:49,400.09
ITEM00666,757.17,S014,OHQXUZRH22QO,,xzouup1k,Sports,3,Transfer,12/07/2024 06:51AM,252.39
ITEM00494,1374.20,S008,X8O7II03OD4J,,6nev8sot,Sports,5,Mobile,2024-12-07 12:28:32,274.84
ITEM00160,2280.40,S013,GKTUF15NKJLG,,3gl8t661,Electronics,5,Mobile,12/07/2024 06:04PM,456.08
ITEM00525,439.28,S020,O1VA4S38KRDF,,l4ao4wv7,Sports,2,Mobile,2024/12/07 19:59:08,219.64
ITEM00487,625.40,S015,HCEKFQNKMB5O,,hfca6r0a,Home,2,Mobile,2024-12-07 13:16:08,312.70
ITEM00824,435.85,S004,MLHZ14EUABPN,,xgcnayky,Sports,1,Cash,2024/12/07 14:51:20,435.85
ITEM00275,1405.96,S001,DDH16359LL2J,,ag5t3lz8,Clothing,4,Mobile,2024-12-07 13:59:57,351.49
ITEM00267,1452.96,S008,T273EQLUKKAP,,e0euiqcf,Home,4,Cash,2024-12-07 11:08:02,363.24
ITEM00042,524.70,S020,AXKH7YDH9ZLP,,mn41r7cx,Toys,5,Card,2024-12-07 21:43:13,104.94
ITEM00673,671.79,S020,SHZXN8BDOQ89,,0ze5nhcp,Sports,3,Card,07-12-24 13:09,223.93
ITEM00603,1166.92,S017,EE4LJAFZ5KKU,,u8inr1s4,Toys,4,Mobile,2024-12-07 05:02:00,291.73
ITEM00704,980.15,S020,5SRPUC8EYLB0,,jkqqnj0r,Home,5,Transfer,12/07/2024 10:23AM,196.03
ITEM00573,301.18,S008,J3FR6Q95IEJ2,,lsvyyaxn,Electronics,1,Card,2024-12-07 16:20:29,301.18
ITEM00830,4.84,S016,ZMDUYH2W9O84,,d91coo00,Toys,4,Card,07-12-24 11:05,1.21
ITEM00625,143.72,S017,621O2EAH0OK3,,o3jrbloj,Home,4,Mobile,2024-12-07 15:20:30,35.93
ITEM00168,817.50,S008,8XKEXNBTBCGT,,72v3m4lk,Groceries,2,Cash,2024/12/07 09:16:19,408.75
ITEM00527,1068.65,S011,PB7V5G2L3AJ8,,zfpp4xgq,Sports,5,Transfer,2024-12-07 23:12:07,213.73
ITEM00847,1858.20,S013,HIIL7W6ATJLO,,5461boch,Sports,5,Card,2024-12-07 03:03:26,371.64
ITEM00675,318.52,S014,795YWNFJ9N6N,,1t0oypkb,Electronics,1,Card,2024-12-07 02:18:49,318.52
ITEM00546,1546.05,S014,ZSV6Y39M3JGW,,3xr9d129,Sports,5,Mobile,07-12-24 04:33,309.21
ITEM00355,1591.00,S005,4I11QJD5LN55,,1pmeoawp,Sports,4,Transfer,2024-12-07 09:28:55,397.75
ITEM00329,1157.64,S005,QXFIAETNI12J,,c920hu7b,Home,3,Cash,2024-12-07 19:55:02,385.88
ITEM00698,488.92,S005,5MGAB1W1HGW5,,z70nfsvn,Home,4,Transfer,2024/12/07 00:54:50,122.23
ITEM00944,1094.56,S015,H9IIUKCUM8SM,,yur03iqh,Clothing,4,Cash,2024-12-07 19:54:49,273.64
ITEM00696,280.87,S014,U3WV1SO2YAQK,,xahfdtwq,Sports,1,Mobile,12/07/2024 05:43AM,280.87
