quantity,payment_method,revenue,item_category,unit_price,customer_id,item_id,storeid,timestamp,transaction_id
5,Card,2356.00,Toys,471.20,709n7m8k,ITEM00055,S020,03-09-25 11:48,NYZXVS1Y9KZS
2,Mobile,793.18,Groceries,396.59,53gvzp4y,ITEM00060,S001,2025-09-03 04:47:15,GBGBINM91I4K
2;Card;287.14;Toys;143.57;nxek8y5x;ITEM00105;S008;2025-09-03T13:56:42;9DLSFHXAD3TA
4;Card;446.08;Sports;111.52;4oe2w4x8;ITEM00514;S008;09/03/2025 04:27AM;CXPCSZ7Q2018
5,Cash,2045.95,Clothing,409.19,jt7i6kx9,ITEM00911,S001,2025-09-03 20:55:27,0Y1XR7UKUMDB
1,Mobile,224.08,Electronics,224.08,f3glv2zl,ITEM00555,S011,2025-09-03 04:26:42,7OQM27GGEA3K
3,Card,999.60,Toys,333.20,s4qrhpwu,ITEM00509,S005,2025-09-03 01:24:49,KOX1MBXXA338
5,Transfer,1744.65,Groceries,348.93,fks1ujrs,ITEM00658,S012,2025-09-03 13:02:44,BA9LUC8L9V3C
1,Mobile,137.47,Clothing,137.47,5sxd1mhn,ITEM00002,S012,2025-09-03 04:24:53,9TZV7WLUD7P5
4,Transfer,1436.76,Clothing,359.19,pfw8brsv,ITEM00928,S007,2025-09-03 11:50:35,1UNMAIVYBHIE
4,Card,829.96,Sports,207.49,oymo7d5x,ITEM00956,S012,2025-09-03 20:53:04,HHJMAH6UZ87S
2,Cash,253.76,Groceries,126.88,1110gw6x,ITEM00668,S018,09/03/2025 10:41AM,6317KO7CTBKS
5,Mobile,802.10,Toys,160.42,wy8pzg8y,ITEM00106,S014,2025-09-03 07:05:46,D78B8YSNE5F2
5,Cash,1069.15,Electronics,213.83,eqf8f5gj,ITEM00513,S009,2025-09-03 01:53:54,5UWYURAEG9QO
3,Mobile,1410.33,Electronics,470.11,tjb5m6nj,ITEM00538,S015,2025/09/03 23:57:32,ZBHFFGSI6B0B
2,Card,603.52,Toys,301.76,vqma47pw,ITEM00132,S004,2025-09-03 21:04:02,ERUWXNZKHQH9
5,Card,734.40,Toys,146.88,0405o1b4,ITEM00206,S019,09/03/2025 01:09AM,CQLAH4O5GC5Q
5,Card,1341.70,Clothing,268.34,of3niea9,ITEM00020,S011,2025-09-03 09:29:27,CMEZ8T3W0VXM
2,Card,694.72,Electronics,347.36,532ezci4,ITEM00241,S015,2025-09-03 06:39:34,8MXHO17RFWSL
4,Mobile,839.88,Sports,209.97,7g2wpq5w,ITEM00085,S013,2025-09-03 05:17:13,6CVO6OCXN1XN
1,Card,297.81,Toys,297.81,isg1w298,ITEM00147,S019,2025-09-03 14:41:56,2MEA19C396S8
4,Mobile,1802.48,Clothing,450.62,idj6qii9,ITEM00680,S018,2025-09-03 04:30:28,5NXSG6AO4KIG
2,Card,570.30,Electronics,285.15,ijd08dik,ITEM00892,S007,2025-09-03 08:16:07,J9QHDOBGF4WI
5,Cash,1555.95,Toys,311.19,9d8ljac9,ITEM00787,S003,03-09-25 19:52,YXZECJWHBDDR
5,Mobile,1476.05,Toys,295.21,915tt5sc,ITEM00055,S010,2025-09-03 05:01:53,IU3X7CI5G3X4
3,Card,1069.68,Toys,356.56,dggu010k,ITEM00243,S005,03-09-25 20:06,44L77BCSEU0F
1,Transfer,8.33,Groceries,8.33,m6h7vcom,ITEM00195,S017,2025-09-03 05:39:27,C3IG4VK9IAFK
4,Mobile,899.96,Toys,224.99,vfavpgbd,ITEM00458,S004,2025-09-03 01:00:00,MLP75MTLQN57
1,Cash,299.28,Sports,299.28,kexo2kq5,ITEM00073,S016,2025-09-03 02:44:22,BTAGPNQYRZPS
5,Mobile,699.80,Clothing,139.96,d9x7htby,ITEM00209,S018,2025-09-03 10:35:34,234D02B9F5YX
4,Transfer,1687.52,Clothing,421.88,vunvjjk7,ITEM00195,S010,2025/09/03 18:41:46,L98Z7P8ZLXE0
2,Transfer,506.74,Clothing,253.37,cxwsqzl1,ITEM00156,S013,2025-09-03 12:14:29,M5E8RAURSX1U
3,Mobile,604.83,Electronics,201.61,rxxswsks,ITEM00135,S007,2025-09-03 09:08:52,VDM4U4033NKF
1,Cash,134.61,Toys,134.61,bdrg5h8b,ITEM00105,S009,09/03/2025 05:38AM,9BIEKMG1IXD4
5,Transfer,574.30,Toys,114.86,kzrqbzok,ITEM00170,S010,2025-09-03 06:51:02,P1WJ4MT8XMS1
4,Transfer,1641.60,Sports,410.40,pm6039lt,ITEM00566,S011,09/03/2025 07:48AM,3QFZTOBMUUPR
3,Mobile,1342.65,Home,447.55,uox6v445,ITEM00678,S010,2025-09-03 12:51:57,UIPRH4WCQJT3
5,Card,1028.10,Clothing,205.62,86t7mt8f,ITEM00284,S001,2025-09-03 09:56:19,VDACLCY69JAH
4,Transfer,324.32,Home,81.08,8cqs5grz,ITEM00874,S012,03-09-25 00:03,BB2X8XXBIOVC
4,Transfer,770.04,Home,192.51,7gctw0d2,ITEM00224,S020,2025-09-03 01:56:53,Z4FG8RRO1UEL
5,Cash,543.20,Clothing,108.64,o82639b4,ITEM00429,S006,2025-09-03 23:06:25,N4QNQ2BD70UO
1,Mobile,473.14,Clothing,473.14,96eg2tek,ITEM00024,S019,2025-09-03 07:20:34,AMUQ85DOOBG8
2,Cash,455.08,Clothing,227.54,73hqkxkd,ITEM00469,S006,2024-13-01 00:00,Z7EREJTO2T1K
2,Mobile,666.90,Sports,333.45,m5geej1m,ITEM00773,S016,2025-09-03 04:48:55,08CPXVEKRK8B
5,Mobile,770.00,Sports,154.00,1fkjtdv9,ITEM00434,S011,2025-09-03 13:30:27,VAGIPL8KV6IT
1,Mobile,213.74,Sports,213.74,23haqrad,ITEM00178,S013,2025-09-03 17:21:41,5IRAEBP5L1BY
5,Card,466.15,Groceries,93.23,g9uhs0b3,ITEM00502,S011,2025/09/03 07:14:25,HBXB8RZSZZTR
1,Transfer,345.72,Groceries,345.72,iy9dym3x,ITEM00350,S003,2025-09-03 02:28:32,VFBLFO33H31H
5,Cash,2304.15,Groceries,460.83,7re6dg4h,ITEM00922,S018,2025-09-03 16:11:10,D6SBPD50GD7W
1,Mobile,428.55,Sports,428.55,ebl881e1,ITEM00457,S013,09/03/2025 03:02PM,3KG7HND14SMO
5,Card,1871.70,Sports,374.34,vlafudp7,ITEM00839,S010,03-09-25 11:43,RPDLEVI0E9GP
2,Mobile,558.10,Toys,279.05,f4e2716w,ITEM00787,S019,09/03/2025 01:38AM,8MKA0OM68EAW
4,Cash,215.44,Sports,53.86,oqtyvxyb,ITEM00908,S003,2025-09-03 18:45:34,3SG9OG0K1PRY
2,Transfer,719.98,Electronics,359.99,9647ugi9,ITEM00840,S001,2025-09-03 21:43:55,Q5IMUEM3OEWU
1,Mobile,178.88,Toys,178.88,ihv45yw7,ITEM00656,S014,2025-09-03T06:47:37,ZT7SYW05ITJL
1,Transfer,372.63,Sports,372.63,t48xtor6,ITEM00848,S004,2025-09-03 19:40:42,II7GUSLR3ST0
4,Cash,1780.20,Groceries,445.05,7g7twlrn,ITEM00894,S006,2025-09-03 06:25:44,I2J4V6G41MHE
4,Transfer,179.60,Toys,44.90,453gzc3o,ITEM00090,S003,2025-09-03 23:04:01,YBEQQVUSM8GR
1,Cash,499.22,Electronics,499.22,jfvwg9s5,ITEM00832,S001,03-09-25 19:10,G7T9IE01YS4H
1,Cash,N/A,Home,350.50,e3ag9867,ITEM00968,S004,2025-09-03 21:30:58,Z8XEPJMY2XO0
3,Card,732.84,Sports,244.28,k5yrlp05,ITEM00219,S009,2025-09-03 05:11:49,UIF70D6MKVBP
4,Transfer,1122.72,Home,280.68,kkvftjd8,ITEM00838,S008,09/03/2025 08:40AM,C7S3DZ3VYM7I
3,Transfer,376.35,Clothing,125.45,wirjk38o,ITEM00095,S004,09/03/2025 07:47PM,BQ5M4TU0SGEU
3,Transfer,1277.79,Groceries,425.93,374kitp9,ITEM00319,S007,2025-09-03 19:15:34,Y4QGMU5712QD
4,Cash,1130.04,Clothing,282.51,hswoyr7o,ITEM00434,S010,09/03/2025 09:37PM,HHX4R48KQXCL
5,Cash,819.40,Home,163.88,st3h2vxr,ITEM00323,S020,2025-09-03 08:17:34,I4US3B19E0KC
3,Cash,680.85,Groceries,226.95,5t4cyk9r,ITEM00427,S003,2025-09-03 14:29:41,65LR75XP0O1T
3,Card,195.39,Groceries,65.13,l9chtb3l,ITEM00199,S010,2025-09-03 20:56:45,6HIFA36NH6EH
3,Transfer,96.57,Home,32.19,9qg0ycn6,ITEM00270,S015,2025-09-03T07:30:18,7AH0FPSZF0IK
3,Mobile,510.87,Electronics,170.29,wt3f50r3,ITEM00974,S019,2025/09/03 07:25:35,R4G6RLZ1SAO0
2,Transfer,536.72,Home,268.36,ka2p1387,ITEM00352,S003,2025-09-03 21:37:00,KEF5EMRYWPLM
5,Cash,1186.50,Sports,237.30,m148p71q,ITEM00490,S016,2025-09-03 07:25:28,SNM03QZYC82B
3,Mobile,1240.95,Home,413.65,bg7eq37k,ITEM00590,S001,09/03/2025 04:31PM,3B1ONKHB0NNZ
1,Transfer,379.25,Electronics,379.25,vnp9du3e,ITEM00743,S016,09/03/2025 05:37PM,XTW8XYSOIVSE
5,Mobile,1679.45,Groceries,335.89,6kyiww4x,ITEM00017,S008,2025-09-03 18:28:15,0VKH39X1XCG0
5,Card,201.75,Sports,40.35,vgsw1ejz,ITEM00130,S011,2025-09-03 13:43:30,XCOXAXWGUI1B
4,Transfer,838.84,Toys,209.71,5f4cpz70,ITEM00650,S017,09/03/2025 09:19AM,J42MI5HC84MJ
5,Mobile,1857.70,Electronics,371.54,od4s5mh5,ITEM00629,S001,2025-09-03 22:27:49,K5YXCUXC2HUX
5,Transfer,871.25,Clothing,174.25,1grzc3th,ITEM00018,S004,09/03/2025 07:15PM,XGY4M1ULJ312
-1,,1099.40,Sports,219.88,zh37la8v,ITEM00044,S006,09/03/2025 10:17AM,DWBLKFM9ZMRX
5,Transfer,67.35,Groceries,13.47,ap4teq6g,ITEM00283,S004,2025/09/03 17:29:13,6EIXZT336P4V
4,Transfer,484.76,Toys,121.19,djn4tyt9,ITEM00328,S014,09/03/2025 05:36AM,T40ABG1743JH
4,Transfer,1154.36,Home,288.59,bvxfu81m,ITEM00245,S010,2025-09-03 14:33:47,H72JMIJRU65P
3,Transfer,1287.81,Electronics,429.27,0cjf40pw,ITEM00809,S012,2025-09-03 06:20:05,OM4DGSF0EU2K
1,Transfer,85.78,Groceries,85.78,dy5virov,ITEM00819,S018,2025-09-03 01:01:13,Q4JK5XT6MH25
1,Mobile,268.61,Groceries,268.61,8oltob8u,ITEM00814,S005,2025/09/03 06:45:55,468C16WZSL85
3,Card,1001.49,Clothing,333.83,4eqvk7wu,ITEM00818,S002,2025-09-03 17:44:15,AFT50B05DO07
4,Card,1068.80,Toys,267.20,q5aqyjrq,ITEM00127,S004,2025-09-03 05:05:19,8XMLD5D52QAY
1,Transfer,317.76,Sports,317.76,3h64berc,ITEM00036,S008,2025-09-03 20:56:32,GLU438QTOY2D
2,Transfer,541.18,Clothing,270.59,pjgbei0m,ITEM00405,S013,03-09-25 19:39,TWUHLIKHTNEV
4,Cash,883.56,Electronics,220.89,33jhzguq,ITEM00869,S017,2025-09-03 16:22:10,GYM9UC7VDI5I
5,Card,182.80,Sports,36.56,94iiccha,ITEM00356,S020,2025-09-03 13:29:59,NS038N1I9S84
1,Card,427.94,Sports,427.94,4ih9gbl6,ITEM00847,S008,2025/09/03 09:18:11,62JW2SP1HY30
1,Transfer,195.18,Sports,195.18,ah9kco3q,ITEM00737,S017,2025-09-03 00:10:06,K95YBC2PQ5UE
5,Card,1033.80,Electronics,206.76,q6gjg279,ITEM00166,S001,2025-09-03 08:07:14,YOQEBMGG84YY
5,Transfer,728.55,Sports,145.71,mr3yf0zg,ITEM00852,S015,2025-09-03 03:32:58,VAKJZQ4MQGU0
1,Transfer,398.85,Groceries,398.85,vqqqcag3,ITEM00742,S010,2025-09-03 10:15:06,REZONQAH5JNY
2,Mobile,207.32,Groceries,103.66,xkygbnd1,ITEM00125,S001,2025-09-03 19:04:27,GOI5P7D8XBGA
4,Transfer,802.84,Groceries,200.71,t8mhfco6,ITEM00467,S006,03-09-25 21:27,X4P8T37N557J
2,Transfer,31.36,Sports,15.68,z0v57yil,ITEM00701,S012,2025-09-03 02:02:28,HQ5SPM4SENOH
1,Mobile,36.53,Electronics,36.53,tqs4abiz,ITEM00028,S003,09/03/2025 04:32AM,ZBAXKNQQ1L6U
3,Cash,574.20,Clothing,191.40,xumg2noy,ITEM00269,S008,09/03/2025 02:47AM,1BZHN3R7E67J
1,Mobile,215.26,Groceries,215.26,9zwkvvet,ITEM00749,S014,09/03/2025 12:48PM,XEHXXUVBAZGX
4,Card,1853.04,Clothing,463.26,tv01kb42,ITEM00245,S006,2025-09-03 17:30:18,DXQ0LQDUHIPQ
1,Mobile,185.46,Sports,185.46,g3ue57kv,ITEM00309,S007,2025-09-03T04:00:46,WB6TW8EMHAMZ
2,Card,544.94,Electronics,272.47,3rmldbre,ITEM00150,S012,2025-09-03 06:46:45,RNV87IW8G2O5
2,Card,270.28,Home,135.14,187cub3z,ITEM00624,S018,03-09-25 20:24,FXCL1ZZUXMQI
1,Card,463.00,Home,463.00,430372i8,ITEM00495,S014,2025-09-03T02:23:28,EX5UQ4K38G2A
1,Mobile,456.48,Groceries,456.48,v07fuyyq,ITEM00871,S016,2025-09-03 13:47:19,L81IKURM0P0E
2,Mobile,131.82,Clothing,65.91,g0tvm7j1,ITEM00878,S004,09/03/2025 05:10AM,HDKEGN96WUNM
2,Mobile,877.90,,438.95,pplegqkj,ITEM00380,S011,06/31/2024 12:00,R3R3GKRNRUP2
3,Transfer,562.92,Sports,187.64,7rgvell6,ITEM00424,S006,2025-09-03 06:02:29,MPWNQ2KVVTLC
5,Transfer,2373.50,Toys,474.70,jwpwgtzt,ITEM00281,S020,03-09-25 17:30,NQALZ641MQXI
4,Transfer,426.52,Electronics,106.63,72yjkj8y,ITEM00488,S003,09/03/2025 02:08AM,A162LU3WRRWW
2,Transfer,671.28,Sports,335.64,xztxfiw8,ITEM00778,S015,2025-09-03 03:10:55,2B0RR6EDBZN9
2,Cash,264.82,Clothing,132.41,wn5z66e5,ITEM00543,S019,2025-09-03 21:58:29,QHAWQY6J1CMC
2,Cash,416.86,Clothing,208.43,wxqqrjdr,ITEM00850,S017,03-09-25 03:49,L4RMHAJ3F0E4
2,Cash,763.76,Toys,381.88,z0eek5ln,ITEM00585,S011,2025-09-03 21:59:43,K74W0Q9T1G8R
N/A,Card,137.22,Toys,45.74,lmxf2haq,ITEM00652,S011,09/03/2025 03:23AM,ZLPQNYI6137Q
1,Card,356.07,Toys,356.07,v8l8qawp,ITEM00784,S001,2025-09-03 21:40:37,LEKQXXO1APLF
5,Mobile,559.95,Sports,111.99,5b3ir24o,ITEM00202,S008,2025-09-03 01:38:47,B8EXUUIW5GC0
4,Transfer,1252.96,Electronics,313.24,ppocbdmr,ITEM00744,S015,2025-09-03 23:33:59,IXVTP6R7VAU1
1,Mobile,190.19,Electronics,190.19,3u8asg6b,ITEM00256,S010,2025-09-03 23:41:11,6H614Q8CKEN7
4,Mobile,1457.32,Groceries,364.33,sn7940kv,ITEM00366,S005,2025-09-03 19:28:22,E91ZRXFIORUN
3,Mobile,211.08,Sports,70.36,q682kuus,ITEM00321,S009,2025-09-03 06:51:06,6I1ODLT027JR
1,Cash,119.50,Toys,119.50,q0oebql3,ITEM00139,S006,2025-09-03 14:28:12,8XVN8FN708FO
4,Mobile,1116.52,Groceries,279.13,02ehnurg,ITEM00336,S019,2025-09-03 22:50:20,FHYPO8MN87XF
1,Transfer,306.17,Toys,306.17,rsupg21w,ITEM00428,S013,2025-09-03 23:40:46,JZH9YSMI96AV
1,Cash,59.19,Home,59.19,p4hkuj33,ITEM00955,S015,2025/09/03 23:15:22,LB2GJS2UE57A
4,Card,123.84,Groceries,30.96,o739qakn,ITEM00682,S005,2025-09-03 23:29:04,CEOLMRXUREQQ
3,Mobile,1292.79,Home,430.93,9f6b8830,ITEM00359,S017,2025-09-03T22:51:27,PAWKO3HDZ4OI
1,Mobile,430.68,Clothing,430.68,6tq4831x,ITEM00393,S005,2025-09-03 06:16:33,P76ZLEEIRFU9
2,Transfer,129.50,Clothing,64.75,tj6wmyzz,ITEM00317,S006,2025-09-03 02:55:03,4LGME8XEU19V
2,Transfer,117.44,Groceries,58.72,5jcp0ag8,ITEM00803,S008,03-09-25 17:20,E61YQHB5323K
1,Cash,329.78,Toys,329.78,4kxuxcvx,ITEM00196,S007,2025-09-03 09:01:19,IYMY8IB67X3I

2,Transfer,516.54,Electronics,258.27,yr89gapa,ITEM00521,S004,2025-09-03 22:53:08,QF2PU40FM2II
1,Mobile,125.65,Clothing,125.65,ohxmzeph,ITEM00009,S017,2025-09-03T05:44:11,LTXLJQWZCTHX
1,Mobile,311.18,Clothing,311.18,z3r17uyn,ITEM00652,S011,2025-09-03 02:03:17,37LTEZTQ3Z89
5,Card,693.05,Clothing,138.61,tzsuqzbf,ITEM00913,S018,09/03/2025 08:11PM,ZPYYTASDV3WM
4;Cash;1409.68;Clothing;352.42;3466q6b4;ITEM00983;S014;2025-09-03 22:25:15;9VLQTNBAGJWR
2,Cash,946.24,Sports,473.12,swrn8991,ITEM00095,S017,2025-09-03 01:58:09,XKN3U4S16KZK
2,Cash,953.58,Toys,476.79,3aas8o0c,ITEM00483,S019,09/03/2025 09:38PM,YWR99S4O53I3
3,Card,652.71,Sports,217.57,zykuqr03,ITEM00840,S014,2025/09/03 14:53:20,QZYZIZQAYJBN
1,Card,147.66,Electronics,147.66,d3g7ipbi,ITEM00382,S007,2025-09-03 09:56:08,KV84MEQF1SBE
4,Transfer,496.68,Clothing,124.17,by9tg7c4,ITEM00637,S011,2025-09-03 21:29:22,PPH8UN9WIK8S

1,Mobile,318.26,Home,318.26,x2ph5c7a,ITEM00420,S011,2025-09-03 23:38:11,MCSCI2PS436G
5,Mobile,1029.70,Clothing,205.94,616c9taz,ITEM00205,S011,09/03/2025 11:09AM,WLDYP9BMXZR9
4,Cash,1754.08,Sports,438.52,l0urz1p7,ITEM00740,S001,09/03/2025 05:35PM,CMHTB33XN2SU
2,Mobile,399.68,Groceries,199.84,e4leehjs,ITEM00742,S008,2025-09-03T12:05:20,G50A3QSG17EQ
1,Transfer,327.24,Toys,327.24,srm2vcar,ITEM00801,S006,2025-09-03 18:56:26,2I0B1X5JYWIS
1,Transfer,440.23,Groceries,440.23,ojxug4qv,ITEM00890,S001,09/03/2025 09:39AM,BRRXQQL6OO61
5,Transfer,1366.75,Electronics,273.35,5bvis9xe,ITEM00780,S017,2025-09-03 17:25:50,FL5XNU9HL3RO
4,Transfer,760.52,Toys,190.13,7zt4fba0,ITEM00205,S006,03-09-25 19:49,2DC43J8Q2TNV
2,Mobile,95.50,Clothing,47.75,thqd58wk,ITEM00499,S007,2025-09-03 09:33:50,FG34OSF1U31R
4,Card,52.44,Toys,13.11,w15g0cqi,ITEM00435,S003,2025-09-03T16:09:07,CFKK5ACKYGK4
2,Mobile,839.58,Toys,419.79,nv2gw1mt,ITEM00240,S013,2025-09-03 10:00:37,7XHEBL3QTU6Y
5,Transfer,1160.10,Clothing,232.02,bq6wvujw,ITEM00178,S014,2025/09/03 00:01:32,YZG2ACFZ694D
5,Card,2201.90,Toys,440.38,0xlx3dew,ITEM00517,S002,2025-09-03 08:27:43,TO3O3JNHQW7L
5,Transfer,1927.60,Home,385.52,t7wkztam,ITEM00721,S003,2025-09-03 23:22:31,2ZQJFQU591GV
3,Cash,928.53,Home,309.51,le6f7pp5,ITEM00156,S012,2025/09/03 19:59:51,8H4WLDF0U14A
1,Transfer,N/A,Sports,256.28,2n67qo7i,ITEM00903,S007,09/03/2025 07:29AM,22YV1V2O4P5R
1,Cash,446.84,Sports,446.84,tblrr7i1,ITEM00537,S002,2025-09-03 05:24:13,J2PCMT23NKFA
1,Transfer,40.68,Home,40.68,7axn508t,ITEM00241,S008,2025-09-03 04:55:11,6QYWLM73EV88
2,Mobile,762.04,Sports,381.02,a4mbf35b,ITEM00536,S014,2025-09-03T16:46:56,0SAQTVUYPZEY
3,Card,1157.04,Sports,385.68,m6o5tp50,ITEM00182,S020,09/03/2025 12:57AM,7G6V4GZCX152
3,Card,751.92,Clothing,250.64,kgyurtsf,ITEM00875,S019,2025-09-03 23:00:52,L7PLW3YKMV1P
3,Transfer,735.24,Sports,245.08,f0w36w91,ITEM00402,S005,09/03/2025 08:08AM,GR17P2O4IAR3
1,Transfer,207.54,Electronics,207.54,y3mmg5op,ITEM00717,S010,09/03/2025 06:32AM,ANZPZHZPLIUF
1,Mobile,216.32,Home,216.32,l1ngqdsc,ITEM00841,S009,2025-09-03 06:39:13,YFFIBGZXJHBJ
2,Transfer,248.40,Sports,124.20,wn0iu9xb,ITEM00597,S020,03-09-25 11:05,5NK4B9YGY51D
5,Mobile,1676.35,Clothing,335.27,3bib9txh,ITEM00781,S004,09/03/2025 05:46AM,9NDC5Z3M5TWL
4,Cash,1998.84,Groceries,499.71,kipnz04y,ITEM00187,S002,09/03/2025 04:25AM,EIVYWRJM9H9L
3,Cash,370.59,Home,123.53,6maqrrqe,ITEM00105,S012,09/03/2025 12:31AM,AV1UAGFY946E
2,Transfer,240.26,Electronics,120.13,kep9wjs8,ITEM00878,S018,2025/09/03 04:11:49,FWR4HANGM5MM
1,Cash,191.40,Toys,191.40,1lk8t6eq,ITEM00173,S015,2025-09-03 05:01:53,TA4PBW782ZIK
4,Mobile,916.64,Electronics,229.16,rzw9q7u2,ITEM00975,S018,2024-13-01 00:00,P31Q25URSR0S
